run_id,x_mm,y_mm,z_mm,n_emitted,n_detected,efficiency
102,-1.5,-4.5,1.5,50000,5868,0.11736
103,-1.5,-4.5,3.0,50000,5867,0.11734
104,-1.5,-4.5,4.5,50000,5651,0.11302
105,-1.5,-3.0,-4.5,50000,5638,0.11276
106,-1.5,-3.0,-3.0,50000,5866,0.11732
107,-1.5,-3.0,-1.5,50000,5973,0.11946
108,-1.5,-3.0,0.0,50000,5905,0.1181
109,-1.5,-3.0,1.5,50000,5948,0.11896
110,-1.5,-3.0,3.0,50000,5764,0.11528
111,-1.5,-3.0,4.5,50000,5747,0.11494
112,-1.5,-1.5,-4.5,50000,5857,0.11714
113,-1.5,-1.5,-3.0,50000,5871,0.11742
114,-1.5,-1.5,-1.5,50000,6065,0.1213
115,-1.5,-1.5,0.0,50000,6101,0.12202
116,-1.5,-1.5,1.5,50000,6085,0.1217
117,-1.5,-1.5,3.0,50000,5917,0.11834
118,-1.5,-1.5,4.5,50000,5791,0.11582
119,-1.5,0.0,-4.5,50000,5989,0.11978
120,-1.5,0.0,-3.0,50000,6040,0.1208
121,-1.5,0.0,-1.5,50000,6381,0.12762
122,-1.5,0.0,0.0,50000,6490,0.1298
123,-1.5,0.0,1.5,50000,6288,0.12576
124,-1.5,0.0,3.0,50000,6219,0.12438
125,-1.5,0.0,4.5,50000,6020,0.1204
126,-1.5,1.5,-4.5,50000,6190,0.1238
127,-1.5,1.5,-3.0,50000,6462,0.12924
128,-1.5,1.5,-1.5,50000,7034,0.14068
129,-1.5,1.5,0.0,50000,7266,0.14532
130,-1.5,1.5,1.5,50000,6903,0.13806
131,-1.5,1.5,3.0,50000,6448,0.12896
132,-1.5,1.5,4.5,50000,6242,0.12484
133,-1.5,3.0,-4.5,50000,5995,0.1199
134,-1.5,3.0,-3.0,50000,6837,0.13674
135,-1.5,3.0,-1.5,50000,8382,0.16764
136,-1.5,3.0,0.0,50000,8709,0.17418
137,-1.5,3.0,1.5,50000,8265,0.1653
138,-1.5,3.0,3.0,50000,6861,0.13722
139,-1.5,3.0,4.5,50000,5805,0.1161
140,-1.5,4.5,-4.5,50000,3792,0.07584
141,-1.5,4.5,-3.0,50000,7999,0.15998
142,-1.5,4.5,-1.5,50000,12176,0.24352
143,-1.5,4.5,0.0,50000,12487,0.24974
144,-1.5,4.5,1.5,50000,12238,0.24476
145,-1.5,4.5,3.0,50000,8044,0.16088
146,-1.5,4.5,4.5,50000,3896,0.07792
147,0.0,-4.5,-4.5,50000,5667,0.11334
148,0.0,-4.5,-3.0,50000,5739,0.11478
149,0.0,-4.5,-1.5,50000,5944,0.11888
150,0.0,-4.5,0.0,50000,5987,0.11974
151,0.0,-4.5,1.5,50000,5853,0.11706
152,0.0,-4.5,3.0,50000,5720,0.1144
153,0.0,-4.5,4.5,50000,5585,0.1117
154,0.0,-3.0,-4.5,50000,5709,0.11418
155,0.0,-3.0,-3.0,50000,5930,0.1186
156,0.0,-3.0,-1.5,50000,5900,0.118
157,0.0,-3.0,0.0,50000,6034,0.12068
158,0.0,-3.0,1.5,50000,5970,0.1194
159,0.0,-3.0,3.0,50000,5887,0.11774
160,0.0,-3.0,4.5,50000,5796,0.11592
161,0.0,-1.5,-4.5,50000,5980,0.1196
162,0.0,-1.5,-3.0,50000,5941,0.11882
163,0.0,-1.5,-1.5,50000,6130,0.1226
164,0.0,-1.5,0.0,50000,6119,0.12238
165,0.0,-1.5,1.5,50000,6027,0.12054
166,0.0,-1.5,3.0,50000,5936,0.11872
167,0.0,-1.5,4.5,50000,5914,0.11828
168,0.0,0.0,-4.5,50000,6240,0.1248
169,0.0,0.0,-3.0,50000,6239,0.12478
170,0.0,0.0,-1.5,50000,6368,0.12736
171,0.0,0.0,0.0,50000,6567,0.13134
172,0.0,0.0,1.5,50000,6629,0.13258
173,0.0,0.0,3.0,50000,6286,0.12572
174,0.0,0.0,4.5,50000,6045,0.1209
175,0.0,1.5,-4.5,50000,6241,0.12482
176,0.0,1.5,-3.0,50000,6590,0.1318
177,0.0,1.5,-1.5,50000,7262,0.14524
178,0.0,1.5,0.0,50000,7432,0.14864
179,0.0,1.5,1.5,50000,7019,0.14038
180,0.0,1.5,3.0,50000,6580,0.1316
181,0.0,1.5,4.5,50000,6311,0.12622
182,0.0,3.0,-4.5,50000,6229,0.12458
183,0.0,3.0,-3.0,50000,7272,0.14544
184,0.0,3.0,-1.5,50000,8700,0.174
185,0.0,3.0,0.0,50000,9193,0.18386
186,0.0,3.0,1.5,50000,8734,0.17468
187,0.0,3.0,3.0,50000,7281,0.14562
188,0.0,3.0,4.5,50000,6127,0.12254
189,0.0,4.5,-4.5,50000,3958,0.07916
190,0.0,4.5,-3.0,50000,8059,0.16118
191,0.0,4.5,-1.5,50000,12218,0.24436
192,0.0,4.5,0.0,50000,12650,0.253
193,0.0,4.5,1.5,50000,12343,0.24686
194,0.0,4.5,3.0,50000,8185,0.1637
195,0.0,4.5,4.5,50000,4000,0.08
196,1.5,-4.5,-4.5,50000,5541,0.11082
197,1.5,-4.5,-3.0,50000,5714,0.11428
198,1.5,-4.5,-1.5,50000,5740,0.1148
199,1.5,-4.5,0.0,50000,5795,0.1159
200,1.5,-4.5,1.5,50000,6047,0.12094
201,1.5,-4.5,3.0,50000,5790,0.1158
202,1.5,-4.5,4.5,50000,5683,0.11366
203,1.5,-3.0,-4.5,50000,5612,0.11224
204,1.5,-3.0,-3.0,50000,5825,0.1165
205,1.5,-3.0,-1.5,50000,5897,0.11794
206,1.5,-3.0,0.0,50000,5902,0.11804
207,1.5,-3.0,1.5,50000,5910,0.1182
208,1.5,-3.0,3.0,50000,5771,0.11542
209,1.5,-3.0,4.5,50000,5764,0.11528
210,1.5,-1.5,-4.5,50000,5803,0.11606
211,1.5,-1.5,-3.0,50000,5892,0.11784
212,1.5,-1.5,-1.5,50000,6054,0.12108
213,1.5,-1.5,0.0,50000,5998,0.11996
214,1.5,-1.5,1.5,50000,6005,0.1201
215,1.5,-1.5,3.0,50000,5826,0.11652
216,1.5,-1.5,4.5,50000,5860,0.1172
217,1.5,0.0,-4.5,50000,6034,0.12068
218,1.5,0.0,-3.0,50000,6098,0.12196
219,1.5,0.0,-1.5,50000,6335,0.1267
220,1.5,0.0,0.0,50000,6374,0.12748
221,1.5,0.0,1.5,50000,6475,0.1295
222,1.5,0.0,3.0,50000,6181,0.12362
223,1.5,0.0,4.5,50000,6239,0.12478
224,1.5,1.5,-4.5,50000,5991,0.11982
225,1.5,1.5,-3.0,50000,6471,0.12942
226,1.5,1.5,-1.5,50000,6995,0.1399
227,1.5,1.5,0.0,50000,7104,0.14208
228,1.5,1.5,1.5,50000,7034,0.14068
229,1.5,1.5,3.0,50000,6515,0.1303
230,1.5,1.5,4.5,50000,6164,0.12328
231,1.5,3.0,-4.5,50000,5974,0.11948
232,1.5,3.0,-3.0,50000,6902,0.13804
233,1.5,3.0,-1.5,50000,8359,0.16718
234,1.5,3.0,0.0,50000,8832,0.17664
235,1.5,3.0,1.5,50000,8379,0.16758
236,1.5,3.0,3.0,50000,6980,0.1396
237,1.5,3.0,4.5,50000,5888,0.11776
238,1.5,4.5,-4.5,50000,3764,0.07528
239,1.5,4.5,-3.0,50000,7892,0.15784
240,1.5,4.5,-1.5,50000,11930,0.2386
241,1.5,4.5,0.0,50000,12406,0.24812
242,1.5,4.5,1.5,50000,11980,0.2396
243,1.5,4.5,3.0,50000,8005,0.1601
244,1.5,4.5,4.5,50000,3792,0.07584
245,3.0,-4.5,-4.5,50000,5624,0.11248
246,3.0,-4.5,-3.0,50000,5782,0.11564
247,3.0,-4.5,-1.5,50000,5717,0.11434
248,3.0,-4.5,0.0,50000,5742,0.11484
249,3.0,-4.5,1.5,50000,5785,0.1157
250,3.0,-4.5,3.0,50000,5636,0.11272
251,3.0,-4.5,4.5,50000,5588,0.11176
252,3.0,-3.0,-4.5,50000,5656,0.11312
253,3.0,-3.0,-3.0,50000,5747,0.11494
254,3.0,-3.0,-1.5,50000,5837,0.11674
255,3.0,-3.0,0.0,50000,5793,0.11586
256,3.0,-3.0,1.5,50000,5808,0.11616
257,3.0,-3.0,3.0,50000,5669,0.11338
258,3.0,-3.0,4.5,50000,5630,0.1126
259,3.0,-1.5,-4.5,50000,5938,0.11876
260,3.0,-1.5,-3.0,50000,5849,0.11698
261,3.0,-1.5,-1.5,50000,5865,0.1173
262,3.0,-1.5,0.0,50000,5922,0.11844
263,3.0,-1.5,1.5,50000,5941,0.11882
264,3.0,-1.5,3.0,50000,5855,0.1171
265,3.0,-1.5,4.5,50000,5757,0.11514
266,3.0,0.0,-4.5,50000,5932,0.11864
267,3.0,0.0,-3.0,50000,6082,0.12164
268,3.0,0.0,-1.5,50000,6106,0.12212
269,3.0,0.0,0.0,50000,6233,0.12466
270,3.0,0.0,1.5,50000,6193,0.12386
271,3.0,0.0,3.0,50000,6079,0.12158
272,3.0,0.0,4.5,50000,5967,0.11934
273,3.0,1.5,-4.5,50000,5793,0.11586
274,3.0,1.5,-3.0,50000,6137,0.12274
275,3.0,1.5,-1.5,50000,6462,0.12924
276,3.0,1.5,0.0,50000,6755,0.1351
277,3.0,1.5,1.5,50000,6543,0.13086
278,3.0,1.5,3.0,50000,6178,0.12356
279,3.0,1.5,4.5,50000,5928,0.11856
280,3.0,3.0,-4.5,50000,5348,0.10696
281,3.0,3.0,-3.0,50000,6062,0.12124
282,3.0,3.0,-1.5,50000,6973,0.13946
283,3.0,3.0,0.0,50000,7208,0.14416
284,3.0,3.0,1.5,50000,6840,0.1368
285,3.0,3.0,3.0,50000,5964,0.11928
286,3.0,3.0,4.5,50000,5385,0.1077
287,3.0,4.5,-4.5,50000,3563,0.07126
288,3.0,4.5,-3.0,50000,5592,0.11184
289,3.0,4.5,-1.5,50000,7938,0.15876
290,3.0,4.5,0.0,50000,8202,0.16404
291,3.0,4.5,1.5,50000,7893,0.15786
292,3.0,4.5,3.0,50000,5688,0.11376
293,3.0,4.5,4.5,50000,3476,0.06952
294,4.5,-4.5,-4.5,50000,5310,0.1062
295,4.5,-4.5,-3.0,50000,5587,0.11174
296,4.5,-4.5,-1.5,50000,5648,0.11296
297,4.5,-4.5,0.0,50000,5687,0.11374
298,4.5,-4.5,1.5,50000,5794,0.11588
299,4.5,-4.5,3.0,50000,5606,0.11212
300,4.5,-4.5,4.5,50000,5462,0.10924
301,4.5,-3.0,-4.5,50000,5661,0.11322
302,4.5,-3.0,-3.0,50000,5666,0.11332
303,4.5,-3.0,-1.5,50000,5810,0.1162
304,4.5,-3.0,0.0,50000,5749,0.11498
305,4.5,-3.0,1.5,50000,5730,0.1146
306,4.5,-3.0,3.0,50000,5601,0.11202
307,4.5,-3.0,4.5,50000,5596,0.11192
308,4.5,-1.5,-4.5,50000,5710,0.1142
309,4.5,-1.5,-3.0,50000,5737,0.11474
310,4.5,-1.5,-1.5,50000,5841,0.11682
311,4.5,-1.5,0.0,50000,5991,0.11982
312,4.5,-1.5,1.5,50000,5943,0.11886
313,4.5,-1.5,3.0,50000,5624,0.11248
314,4.5,-1.5,4.5,50000,5691,0.11382
315,4.5,0.0,-4.5,50000,5793,0.11586
316,4.5,0.0,-3.0,50000,6077,0.12154
317,4.5,0.0,-1.5,50000,6049,0.12098
318,4.5,0.0,0.0,50000,6155,0.1231
319,4.5,0.0,1.5,50000,6110,0.1222
320,4.5,0.0,3.0,50000,5938,0.11876
321,4.5,0.0,4.5,50000,5660,0.1132
322,4.5,1.5,-4.5,50000,5628,0.11256
323,4.5,1.5,-3.0,50000,5865,0.1173
324,4.5,1.5,-1.5,50000,6092,0.12184
325,4.5,1.5,0.0,50000,6196,0.12392
326,4.5,1.5,1.5,50000,6155,0.1231
327,4.5,1.5,3.0,50000,5832,0.11664
328,4.5,1.5,4.5,50000,5565,0.1113
329,4.5,3.0,-4.5,50000,5005,0.1001
330,4.5,3.0,-3.0,50000,5422,0.10844
331,4.5,3.0,-1.5,50000,5887,0.11774
332,4.5,3.0,0.0,50000,6043,0.12086
333,4.5,3.0,1.5,50000,5900,0.118
334,4.5,3.0,3.0,50000,5451,0.10902
335,4.5,3.0,4.5,50000,5004,0.10008
336,4.5,4.5,-4.5,50000,3142,0.06284
337,4.5,4.5,-3.0,50000,3425,0.0685
338,4.5,4.5,-1.5,50000,3750,0.075
339,4.5,4.5,0.0,50000,3920,0.0784
340,4.5,4.5,1.5,50000,3846,0.07692
341,4.5,4.5,3.0,50000,3434,0.06868
342,4.5,4.5,4.5,50000,3047,0.06094
